Číslo,Jméno,Název 1,Název 2,Typ zdroje,Rok publikace,Rok sběru,Lok. - bod,Lok. - oblast,Bibliografie,Náš zdroj
125,"ČERNÝ-KŘETÍNSKÝ, E.",Kronika Podomí. 650 let historie obce.,,Kniha,1999,1999,Podomí VY,,"Podomí: Obecní úřad, 1999, s. 203–206. ISBN 80-238-4986-7.",Excely
126,"ČERVINKA, K.",Hronov NA.,,Excerpta,1961,1961,Hronov NA,,1961.,Bara
127,"ČERVINKA, K.",Hronovské nářečí.,,Studentská práce,1952,1952,Hronov NA,,"Praha, 1952.",Bara
128,"ČERVINKA, K.",Velké Poříčí NA.,,Excerpta,1957,1957,Velké Poříčí NA,,1957.,Bara
129,"ČERVINKA, K. J.",Kašařství na Novojičínsku.,Český lid,Článek v časopise,1894,1894,,,"Český lid. 1894, roč. 3, s. 224–228.",Bara
130,"ČERVINKOVÁ, M.",Litomyšl SY.,,Excerpta,1961,1961,Litomyšl SY,,1961.,Bara
131,"ČERVINKOVÁ, M.",Litomyšl SY.,,Excerpta,1963,1963,Litomyšl SY,,1963.,Bara
132,"ČERVINKOVÁ, M.",Litomyšl SY.,,Excerpta,1964,1964,Litomyšl SY,,1964.,Bara
133,"ČERVINKOVÁ, M.",Litomyšl SY.,,Excerpta,1965,1965,Litomyšl SY,,1965.,Bara
134,"ČERVINKOVÁ, M.",Litomyšl SY.,,Excerpta,1966,1966,Litomyšl SY,,1966.,Bara
135,"ČÍŽKOVÁ, B.",Jak lid východoslezský „doktoří“.,Český lid,Článek v časopise,1899,1899,,,"Český lid. 1899, roč. 8, s. 367–369",Bara
136,"ČOUKA, F.",Lidové názvy rostlin z Moravy.,Časopis Vlasteneckého spolku musejního v Olomouci,Článek v časopise,1929,1929,,,"Časopis Vlasteneckého spolku musejního v Olomouci. 1929, roč. 41–42, s. 122–124.",Excely
137,"DADÁKOVÁ, A.",Slovesa ve slovní zásobě nářečí obce Malé Hradisko.,,Studentská práce,1988,1988,Malé Hradisko PV,,"Brno, 1988.",Bara
138,"DANEŠOVÁ, P.",Česká Skalice NA (Zlíč).,,Excerpta,1961,1961,Česká Skalice NA (Zlíč),,1961.,Bara
139,"DANEŠOVÁ, P.",Česká Skalice NA (Zlíč).,,Excerpta,1962,1962,Česká Skalice NA (Zlíč),,1962.,Bara
140,"DANEŠOVÁ, P.",Kolín KO.,,Excerpta,1963,1963,Kolín KO,,1963.,Bara
141,"DANEŠOVÁ, P.",Kolín KO.,,Excerpta,1964,1964,Kolín KO,,1964.,Bara
142,"DANEŠOVÁ, P.",Konárovice KO.,,Excerpta,1965,1965,Konárovice KO,,1965.,Bara
143,"DANEŠOVÁ, P.",Poděbrady NB (Přední Lhota).,,Excerpta,1961,1961,Poděbrady NB (Přední Lhota),,1961.,Bara
144,"DANEŠOVÁ, P.",Poděbrady NB (Přední Lhota).,,Excerpta,1963,1963,Poděbrady NB (Přední Lhota),,1963.,Bara
145,"DANEŠOVÁ, P.",Poděbrady NB (Přední Lhota).,,Excerpta,1964,1964,Poděbrady NB (Přední Lhota),,1964.,Bara
146,"DANEŠOVÁ, P.",Poděbrady NB (Přední Lhota).,,Excerpta,1965,1965,Poděbrady NB (Přední Lhota),,1965.,Bara
147,"DANEŠOVÁ, P.",Poděbrady NB (Přední Lhota).,,Excerpta,1966,1966,Poděbrady NB (Přední Lhota),,1966.,Bara
148,"DANEŠOVÁ, P.",Poděbrady NB (Přední Lhota).,,Excerpta,1967,1967,Poděbrady NB (Přední Lhota),,1967.,Bara
149,"DANEŠOVÁ, P.",Poděbrady NB (Přední Lhota).,,Excerpta,1968,1968,Poděbrady NB (Přední Lhota),,1968.,Bara
